docker exec demoattach jcmd 1 GC.class_histogram
1:
 num     #instances         #bytes  class name (module)
 263:             8            320  sun.management.MemoryPoolImpl$CollectionSensor (java.management@11.0.8)
 264:             8            320  sun.management.MemoryPoolImpl$PoolSensor (java.management@11.0.8)
 265:            17            312  [Ljavax.management.MBeanConstructorInfo; (java.management@11.0.8)
 266:            19            304  com.sun.proxy.$Proxy10
 267:             9            288  [Ljava.lang.invoke.LambdaFormEditor$Transform; (java.base@11.0.8)
 268:            12            288  java.io.ExpiringCache$Entry (java.base@11.0.8)
 269:            12            288  java.net.StandardSocketOptions$StdSocketOption (java.base@11.0.8)
 270:             9            288  java.rmi.server.UID (java.rmi@11.0.8)
 271:             4            288  java.util.ResourceBundle$CacheKey (java.base@11.0.8)
 272:            18            288  java.util.concurrent.atomic.AtomicInteger (java.base@11.0.8)
 273:             9            288  java.util.logging.Level (java.logging@11.0.8)
 274:             9            288  java.util.logging.Level$KnownLevel (java.logging@11.0.8)
 275:             9            288  javax.management.MBeanNotificationInfo (java.management@11.0.8)
 276:             6            288  sun.nio.cs.UTF_8$Encoder (java.base@11.0.8)
 277:             1            280  [Ljava.lang.invoke.LambdaForm$Kind; (java.base@11.0.8)
 278:             5            280  java.net.SocketPermission (java.base@11.0.8)
 279:             5            280  sun.util.calendar.ZoneInfo (java.base@11.0.8)
 280:            17            272  jdk.internal.reflect.DelegatingMethodAccessorImpl (java.base@11.0.8)
 281:            17            272  sun.invoke.util.ValueConversions$WrapperCache (java.base@11.0.8)
 282:            11            264  java.lang.NamedPackage (java.base@11.0.8)
 283:            11            264  java.lang.annotation.ElementType (java.base@11.0.8)
 284:            11            264  java.lang.invoke.MethodHandleImpl$Intrinsic (java.base@11.0.8)
 285:             4            256  java.lang.ClassValue$ClassValueMap (java.base@11.0.8)
 286:             8            256  java.lang.reflect.ProxyGenerator$PrimitiveTypeInfo (java.base@11.0.8)
 287:             8            256  java.security.BasicPermissionCollection (java.base@11.0.8)
 288:             8            256  java.util.ResourceBundle$KeyElementReference (java.base@11.0.8)
 289:            16            256  sun.util.logging.internal.LoggingProviderImpl$JULWrapper (java.logging@11.0.8)
 290:             6            240  java.lang.ClassLoader$NativeLibrary (java.base@11.0.8)
 291:             6            240  java.lang.IllegalArgumentException (java.base@11.0.8)
 292:             3            240  java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLIILL (java.base@11.0.8)
 293:             3            240  java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLLLLL (java.base@11.0.8)
 294:             5            240  java.net.URLPermission (java.base@11.0.8)
 295:            10            240  java.nio.charset.CoderResult (java.base@11.0.8)
 296:            10            240  java.nio.file.StandardOpenOption (java.base@11.0.8)
 297:            15            240  java.util.Collections$SingletonSet (java.base@11.0.8)
 298:             5            240  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@11.0.8)
 299:             6            240  jdk.internal.reflect.UnsafeQualifiedStaticLongFieldAccessorImpl (java.base@11.0.8)
 300:             5            240  sun.util.resources.Bundles$BundleReference (java.base@11.0.8)
 301:             2            224  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@11.0.8)
 302:             5            224  [Ljava.lang.invoke.LambdaForm$NamedFunction; (java.base@11.0.8)
 303:            14            224  com.sun.proxy.$Proxy18
 304:             7            224  java.lang.ClassValue$Entry (java.base@11.0.8)
 305:             7            224  java.net.InetAddress$InetAddressHolder (java.base@11.0.8)
 306:            14            224  java.rmi.server.Operation (java.rmi@11.0.8)
 307:             7            224  java.util.Collections$SynchronizedMap (java.base@11.0.8)
 308:             7            224  java.util.Collections$UnmodifiableMap (java.base@11.0.8)
 309:             7            224  sun.rmi.transport.LiveRef (java.rmi@11.0.8)
 310:             4            224  sun.rmi.transport.Target (java.rmi@11.0.8)
 311:             3            216  java.lang.invoke.BoundMethodHandle$Species_LLLLLLLIIL (java.base@11.0.8)
 312:             9            216  java.net.NetPermission (java.base@11.0.8)
 313:             3            216  java.util.regex.Matcher (java.base@11.0.8)
 314:             9            216  sun.rmi.runtime.Log$LoggerLog (java.rmi@11.0.8)
 315:             3            216  sun.security.provider.NativePRNG$RandomIO (java.base@11.0.8)
 316:             9            216  sun.util.logging.PlatformLogger$Level (java.base@11.0.8)
 317:             5            200  java.io.FilePermission (java.base@11.0.8)
 318:             5            200  java.util.EnumMap (java.base@11.0.8)
 319:             5            200  java.util.IdentityHashMap (java.base@11.0.8)
 320:             5            200  java.util.stream.StreamOpFlag (java.base@11.0.8)
 321:             6            192  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CollectionMapping (java.management@11.0.8)
 322:             4            192  java.lang.ThreadGroup (java.base@11.0.8)
 323:             3            192  java.lang.invoke.BoundMethodHandle$Species_LLLLLLII (java.base@11.0.8)
 324:             6            192  java.lang.invoke.LambdaForm$BasicType (java.base@11.0.8)
 325:             6            192  java.lang.invoke.VarHandleInts$FieldInstanceReadWrite (java.base@11.0.8)
 326:             4            192  java.nio.HeapByteBuffer (java.base@11.0.8)
 327:             6            192  java.time.format.TextStyle (java.base@11.0.8)
 328:             8            192  java.util.LinkedList$Node (java.base@11.0.8)
 329:             4            192  java.util.ResourceBundle$BundleReference (java.base@11.0.8)
 330:             6            192  java.util.regex.Pattern$Branch (java.base@11.0.8)
 331:             4            192  sun.nio.cs.StreamEncoder (java.base@11.0.8)
 332:             4            176  [Ljava.lang.Thread; (java.base@11.0.8)
 333:             1            168  [[Ljava.math.BigInteger; (java.base@11.0.8)
 334:             7            168  com.sun.jmx.remote.util.ClassLogger (java.management@11.0.8)
 335:             3            168  java.io.FileCleanable (java.base@11.0.8)
 336:             7            168  java.io.ObjectStreamClass$ClassDataSlot (java.base@11.0.8)
 337:             7            168  java.lang.System$Logger$Level (java.base@11.0.8)
 338:             7            168  java.rmi.server.ObjID (java.rmi@11.0.8)
 339:             7            168  java.util.regex.Pattern$BmpCharPropertyGreedy (java.base@11.0.8)
 340:             7            168  java.util.regex.Pattern$GroupHead (java.base@11.0.8)
 341:             7            168  java.util.regex.Pattern$GroupTail (java.base@11.0.8)
 342:             3            168  javax.management.openmbean.OpenMBeanOperationInfoSupport (java.management@11.0.8)
 343:             7            168  jdk.jfr.internal.SecuritySupport$SafePath (jdk.jfr@11.0.8)
 344:             7            168  sun.management.counter.Units (java.management@11.0.8)
 345:             3            160  [Ljava.util.logging.Level; (java.logging@11.0.8)
