jmap -histo 7

 num     #instances         #bytes  class name
 355:             1             32  jdk.internal.org.objectweb.asm.Handle
 356:             1             32  jdk.nashorn.internal.runtime.ErrorManager
 357:             1             32  jdk.nashorn.internal.runtime.Timing
 358:             2             32  jdk.nashorn.internal.runtime.Undefined
 359:             1             32  jdk.nashorn.internal.runtime.arrays.NonExtensibleArrayFilter
 360:             1             32  jdk.nashorn.internal.runtime.arrays.ObjectArrayData
 361:             1             32  jdk.nashorn.internal.runtime.options.Options
 362:             1             32  sun.nio.cs.StandardCharsets
 363:             1             32  sun.nio.fs.LinuxFileSystem
 364:             1             32  sun.nio.fs.UnixPath
 365:             2             32  sun.reflect.DelegatingMethodAccessorImpl
 366:             1             24  [Ljava.io.File$PathStatus;
 367:             1             24  [Ljdk.internal.dynalink.linker.ConversionComparator;
 368:             1             24  [Lsun.launcher.LauncherHelper;
 369:             1             24  java.io.FilePermissionCollection
 370:             1             24  java.io.InputStreamReader
 371:             1             24  java.lang.Double
 372:             1             24  java.lang.ProcessEnvironment$StringEnvironment
 373:             1             24  java.lang.StringBuilder
 374:             1             24  java.lang.ThreadLocal$ThreadLocalMap
 375:             1             24  java.lang.invoke.DirectMethodHandle$EnsureInitialized
 376:             1             24  java.lang.invoke.MethodHandleImpl$4
 377:             1             24  java.lang.invoke.MethodHandleImpl$ArrayAccessor$1
 378:             1             24  java.lang.invoke.MethodType$ConcurrentWeakInternSet
 379:             1             24  java.util.BitSet
 380:             1             24  java.util.Collections$EmptyMap
 381:             1             24  java.util.Collections$SetFromMap
 382:             1             24  java.util.Collections$SynchronizedSet
 383:             1             24  java.util.Locale$Cache
 384:             1             24  java.util.PropertyPermissionCollection
 385:             1             24  java.util.ResourceBundle$Control$CandidateListCache
 386:             1             24  java.util.jar.Manifest
 387:             1             24  java.util.logging.LogManager$LoggerContext
 388:             1             24  java.util.logging.LoggingPermission
 389:             1             24  jdk.internal.dynalink.beans.BeansLinker$1
 390:             1             24  jdk.internal.dynalink.beans.StaticClassLinker$1
 391:             1             24  jdk.internal.dynalink.linker.GuardedTypeConversion
 392:             1             24  jdk.internal.dynalink.support.DefaultInternalObjectFilter
 393:             1             24  jdk.internal.dynalink.support.LinkerServicesImpl
