docker exec demoattach jcmd 1 GC.class_histogram
1:
 num     #instances         #bytes  class name (module)
 191:            30            664  [Ljava.lang.reflect.Type; (java.base@11.0.8)
 192:            16            640  java.time.format.DateTimeFormatter (java.base@11.0.8)
 193:            40            640  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@11.0.8)
 194:             3            624  [Ljava.lang.invoke.LambdaForm; (java.base@11.0.8)
 195:            26            624  java.lang.invoke.Invokers (java.base@11.0.8)
 196:            26            624  jdk.internal.org.objectweb.asm.commons.Method (java.base@11.0.8)
 197:            19            608  java.lang.invoke.VarHandle$AccessDescriptor (java.base@11.0.8)
 198:            19            608  java.util.Vector (java.base@11.0.8)
 199:             5            600  [Ljava.lang.ClassValue$Entry; (java.base@11.0.8)
 200:            25            600  com.sun.jmx.mbeanserver.NamedObject (java.management@11.0.8)
 201:            15            600  java.lang.invoke.VarHandleObjects$FieldInstanceReadWrite (java.base@11.0.8)
 202:            25            600  java.time.LocalTime (java.base@11.0.8)
 203:            37            592  java.util.LinkedHashMap$LinkedValues (java.base@11.0.8)
 204:             6            576  java.net.SocksSocketImpl (java.base@11.0.8)
 205:            18            576  sun.reflect.generics.tree.MethodTypeSignature (java.base@11.0.8)
 206:             7            560  java.util.concurrent.TimeUnit (java.base@11.0.8)
 207:            14            560  javax.management.openmbean.SimpleType (java.management@11.0.8)
 208:             1            528  [Ljava.lang.Character; (java.base@11.0.8)
 209:            11            528  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CompositeMapping (java.management@11.0.8)
 210:            22            528  java.util.LinkedList$Node (java.base@11.0.8)
 211:            13            520  com.sun.jmx.mbeanserver.PerInterface (java.management@11.0.8)
 212:            32            512  com.sun.proxy.$Proxy8
 213:            16            512  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@11.0.8)
 214:            16            512  java.time.temporal.ChronoUnit (java.base@11.0.8)
 215:            21            504  java.util.AbstractMap$SimpleImmutableEntry (java.base@11.0.8)
 216:             7            496  [Lsun.invoke.util.Wrapper; (java.base@11.0.8)
 217:            11            488  [Ljava.lang.reflect.Method; (java.base@11.0.8)
 218:            15            480  java.security.Permissions (java.base@11.0.8)
 219:            15            480  jdk.jfr.internal.EventWriterMethod (jdk.jfr@11.0.8)
 220:            10            480  sun.invoke.util.Wrapper (java.base@11.0.8)
 221:            20            480  sun.reflect.generics.factory.CoreReflectionFactory (java.base@11.0.8)
 222:            19            456  [Ljava.security.ProtectionDomain; (java.base@11.0.8)
 223:            19            456  java.security.SecurityPermission (java.base@11.0.8)
 224:            19            456  java.time.Duration (java.base@11.0.8)
 225:             8            448  sun.management.MemoryPoolImpl (java.management@11.0.8)
 226:            20            440  [Ljavax.management.MBeanNotificationInfo; (java.management@11.0.8)
 227:            27            432  java.util.concurrent.atomic.AtomicBoolean (java.base@11.0.8)
 228:            18            432  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@11.0.8)
 229:            18            432  sun.reflect.generics.scope.MethodScope (java.base@11.0.8)
 230:            26            416  [Ljava.security.Principal; (java.base@11.0.8)
 231:            26            416  com.sun.proxy.$Proxy2
 232:            26            416  com.sun.proxy.$Proxy9
 233:            26            416  java.security.ProtectionDomain$Key (java.base@11.0.8)
 234:            17            408  javax.management.StandardMBean (java.management@11.0.8)
 235:            25            400  com.sun.proxy.$Proxy5
 236:            10            400  java.lang.IllegalArgumentException (java.base@11.0.8)
 237:            10            400  java.lang.OutOfMemoryError (java.base@11.0.8)
 238:            24            384  com.sun.proxy.$Proxy4
 239:             1            384  java.lang.ref.Finalizer$FinalizerThread (java.base@11.0.8)
 240:             1            384  java.util.logging.LogManager$Cleaner (java.logging@11.0.8)
 241:            12            384  sun.security.jca.ProviderConfig (java.base@11.0.8)
 242:             1            376  java.lang.ref.Reference$ReferenceHandler (java.base@11.0.8)
 243:            23            368  jdk.jfr.internal.StringPool (jdk.jfr@11.0.8)
 244:            21            360  [Lsun.reflect.generics.tree.FieldTypeSignature; (java.base@11.0.8)
 245:            15            360  java.util.concurrent.atomic.AtomicLong (java.base@11.0.8)
 246:             9            360  sun.rmi.transport.tcp.TCPEndpoint (java.rmi@11.0.8)
 247:             8            352  [Ljava.lang.invoke.MethodType; (java.base@11.0.8)
 248:            21            352  [Lsun.reflect.generics.tree.FormalTypeParameter; (java.base@11.0.8)
 249:            11            352  java.io.ObjectStreamClass$WeakClassKey (java.base@11.0.8)
 250:            22            352  java.time.format.DateTimeFormatterBuilder$CharLiteralPrinterParser (java.base@11.0.8)
 251:             4            352  java.util.regex.Pattern (java.base@11.0.8)
 252:            11            352  jdk.jfr.internal.LogTag (jdk.jfr@11.0.8)
 253:            21            336  java.util.LinkedHashMap$LinkedEntrySet (java.base@11.0.8)
 254:             6            336  java.util.Properties (java.base@11.0.8)
 255:            18            328  [Lsun.reflect.generics.tree.TypeSignature; (java.base@11.0.8)
 256:             4            320  java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLIILL (java.base@11.0.8)
 257:             8            320  java.lang.invoke.DirectMethodHandle$Interface (java.base@11.0.8)
 258:             5            320  java.nio.DirectByteBufferR (java.base@11.0.8)
 259:            10            320  java.util.Hashtable$Entry (java.base@11.0.8)
 260:             8            320  sun.management.MemoryPoolImpl$CollectionSensor (java.management@11.0.8)
 261:             8            320  sun.management.MemoryPoolImpl$PoolSensor (java.management@11.0.8)
 262:            17            312  [Ljavax.management.MBeanConstructorInfo; (java.management@11.0.8)
 263:             3            304  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@11.0.8)
 264:            19            304  com.sun.proxy.$Proxy11
 265:            12            288  java.io.ExpiringCache$Entry (java.base@11.0.8)
 266:            12            288  java.net.StandardSocketOptions$StdSocketOption (java.base@11.0.8)
 267:             9            288  java.rmi.server.UID (java.rmi@11.0.8)
 268:             4            288  java.util.ResourceBundle$CacheKey (java.base@11.0.8)
 269:            18            288  java.util.concurrent.atomic.AtomicInteger (java.base@11.0.8)
 270:             9            288  java.util.logging.Level (java.logging@11.0.8)
 271:             9            288  java.util.logging.Level$KnownLevel (java.logging@11.0.8)
 272:             9            288  javax.management.MBeanNotificationInfo (java.management@11.0.8)
 273:             1            280  [Ljava.lang.invoke.LambdaForm$Kind; (java.base@11.0.8)
 274:             5            280  java.net.SocketPermission (java.base@11.0.8)
 275:             5            280  sun.util.calendar.ZoneInfo (java.base@11.0.8)
 276:            17            272  sun.invoke.util.ValueConversions$WrapperCache (java.base@11.0.8)
 277:            11            264  java.lang.NamedPackage (java.base@11.0.8)
 278:            11            264  java.lang.annotation.ElementType (java.base@11.0.8)
 279:            11            264  java.lang.invoke.MethodHandleImpl$Intrinsic (java.base@11.0.8)
 280:             4            256  java.lang.ClassValue$ClassValueMap (java.base@11.0.8)
 281:             8            256  java.lang.reflect.ProxyGenerator$PrimitiveTypeInfo (java.base@11.0.8)
 282:             8            256  java.security.BasicPermissionCollection (java.base@11.0.8)
 283:             8            256  java.util.ResourceBundle$KeyElementReference (java.base@11.0.8)
 284:            16            256  sun.util.logging.internal.LoggingProviderImpl$JULWrapper (java.logging@11.0.8)
 285:             6            240  java.lang.ClassLoader$NativeLibrary (java.base@11.0.8)
 286:             3            240  java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLIILL (java.base@11.0.8)
 287:             3            240  java.lang.invoke.BoundMethodHandle$Species_LLLLLLLLLLLLL (java.base@11.0.8)
 288:             5            240  java.net.URLPermission (java.base@11.0.8)
 289:            10            240  java.nio.charset.CoderResult (java.base@11.0.8)
 290:            10            240  java.nio.file.StandardOpenOption (java.base@11.0.8)
 291:            15            240  java.util.Collections$SingletonSet (java.base@11.0.8)
 292:             6            240  java.util.IdentityHashMap (java.base@11.0.8)
 293:             5            240  sun.nio.cs.UTF_8$Encoder (java.base@11.0.8)
 294:             5            240  sun.util.resources.Bundles$BundleReference (java.base@11.0.8)
 295:             5            224  [Ljava.lang.invoke.LambdaForm$NamedFunction; (java.base@11.0.8)
 296:            14            224  com.sun.proxy.$Proxy19
 297:             7            224  java.lang.ClassValue$Entry (java.base@11.0.8)
 298:             7            224  java.net.InetAddress$InetAddressHolder (java.base@11.0.8)
 299:            14            224  java.rmi.server.Operation (java.rmi@11.0.8)
 300:             7            224  java.util.Collections$SynchronizedMap (java.base@11.0.8)
 301:             7            224  java.util.Collections$UnmodifiableMap (java.base@11.0.8)
 302:             7            224  sun.rmi.transport.LiveRef (java.rmi@11.0.8)
 303:             4            224  sun.rmi.transport.Target (java.rmi@11.0.8)
 304:             3            216  java.lang.invoke.BoundMethodHandle$Species_LLLLLLLIIL (java.base@11.0.8)
 305:             9            216  java.net.NetPermission (java.base@11.0.8)
 306:             3            216  java.util.regex.Matcher (java.base@11.0.8)
 307:             9            216  sun.rmi.runtime.Log$LoggerLog (java.rmi@11.0.8)
 308:             3            216  sun.security.provider.NativePRNG$RandomIO (java.base@11.0.8)
 309:             9            216  sun.util.logging.PlatformLogger$Level (java.base@11.0.8)
 310:             5            200  java.io.FilePermission (java.base@11.0.8)
 311:             5            200  java.util.EnumMap (java.base@11.0.8)
 312:             5            200  java.util.stream.StreamOpFlag (java.base@11.0.8)
 313:             6            192  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CollectionMapping (java.management@11.0.8)
 314:             4            192  java.lang.ThreadGroup (java.base@11.0.8)
 315:             3            192  java.lang.invoke.BoundMethodHandle$Species_LLLLLLII (java.base@11.0.8)
 316:             6            192  java.lang.invoke.LambdaForm$BasicType (java.base@11.0.8)
 317:             6            192  java.lang.invoke.VarHandleInts$FieldInstanceReadWrite (java.base@11.0.8)
 318:             4            192  java.nio.HeapByteBuffer (java.base@11.0.8)
 319:             6            192  java.time.format.TextStyle (java.base@11.0.8)
 320:             4            192  java.util.ResourceBundle$BundleReference (java.base@11.0.8)
 321:             6            192  java.util.regex.Pattern$Branch (java.base@11.0.8)
 322:             4            192  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@11.0.8)
 323:             4            192  sun.nio.cs.StreamEncoder (java.base@11.0.8)
 324:             4            176  [Ljava.lang.Thread; (java.base@11.0.8)
 325:            11            176  jdk.internal.reflect.BootstrapConstructorAccessorImpl (java.base@11.0.8)
 326:             1            168  [[Ljava.math.BigInteger; (java.base@11.0.8)
 327:             7            168  com.sun.jmx.remote.util.ClassLogger (java.management@11.0.8)
 328:             3            168  java.io.FileCleanable (java.base@11.0.8)
 329:             7            168  java.lang.System$Logger$Level (java.base@11.0.8)
 330:             7            168  java.rmi.server.ObjID (java.rmi@11.0.8)
 331:             7            168  java.util.regex.Pattern$BmpCharPropertyGreedy (java.base@11.0.8)
 332:             7            168  java.util.regex.Pattern$GroupHead (java.base@11.0.8)
 333:             7            168  java.util.regex.Pattern$GroupTail (java.base@11.0.8)
 334:             3            168  javax.management.openmbean.OpenMBeanOperationInfoSupport (java.management@11.0.8)
 335:             7            168  sun.management.counter.Units (java.management@11.0.8)
